N,seed,K,contact_success,contact_reason,contact_time,contact_contacts,contact_max_contacts_single_pair,contact_cost,contact_cost_continuous,contact_min_dist,scp_success,scp_reason,scp_time,scp_iterations,scp_cost,scp_min_dist,scp_worst_violation,scp_min_dist_continuous,position_rmse,max_position_deviation,same_homotopy_class,n_crossings_scp,n_crossings_contact
16,8,25,True,converged,0.2571387500211131,6,1,1.999137065346089,1.9927533055187137,0.5078179462377288,True,converged,0.3355658054351806,3,1.994474789573889,0.4999999999999996,0.0,0.3052065782685749,0.0376125552060746,0.1745379030468683,True,63,63
16,8,35,True,converged,0.2437412079889327,6,1,1.9960187236693911,1.9927533055187137,0.5032975149744331,True,converged,0.7946839332580566,3,1.993835694763891,0.5000000000000003,0.0,0.3607638477678562,0.0332693795162335,0.1123488128218394,True,63,63
16,8,50,True,converged,0.2571387500211131,6,1,1.9943468030190292,1.9927533055187137,0.5078179462377288,True,converged,2.771775007247925,4,1.9930897271033765,0.5000000000000001,0.0,0.4175139789864836,0.0185405537839176,0.0626663738445529,True,63,63
16,8,75,True,converged,0.2571387500211131,6,1,1.9934616810878725,1.9927533055187137,0.5004194255624711,True,converged,3.7778470516204834,3,1.9929569540622265,0.5000000000049084,0.0,0.4591947222954089,0.0101494914096415,0.0320328592433942,True,63,63
16,8,100,True,converged,0.2571387500211131,6,1,1.9931481615306983,1.9927533055187137,0.5000570423961033,True,converged,5.572367906570435,3,1.9927745382093676,0.5000000673300068,0.0,0.4822314784477002,0.0089323405642714,0.0294278833763912,True,63,63
16,8,150,True,converged,0.2571387500211131,6,1,1.992927165508927,1.9927533055187137,0.5001298819738698,True,converged,9.802232027053831,3,1.9927858124255649,0.5000000000781193,0.0,0.4687313396135863,0.0055293858074143,0.0197856677353129,True,63,63
16,8,200,True,converged,0.25375387497479096,6,1,1.9928493961262554,1.9927533055187137,0.5000570423961033,True,converged,34.38601517677307,3,1.9927707904116962,0.5000000002364478,0.0,0.48775101114781755,0.0036249949269330003,0.011578419431074145,True,63,63
16,9,10,True,converged,0.0219987079908605,1,1,0.9313543305360996,0.9130930057179862,0.911442072725512,True,converged,0.002760887145996,0,0.9220912447125812,0.9944245231605154,0.0,0.2976296288654197,0.024624260146403,0.1073607605825834,True,41,41
16,9,15,True,converged,0.0210844999819528,1,1,0.9212078652707744,0.9130930057179862,0.8446228267708549,True,converged,0.0036261081695556,0,0.9169456462487844,0.8312082911269453,0.0,0.2976296288654144,0.0237599524449656,0.1073525538062755,True,41,41
16,9,25,True,converged,0.0219987079908605,1,1,0.9160152907737464,0.9130930057179862,0.501383174177873,True,converged,0.1871891021728515,2,0.9145500931272192,0.500000000000001,0.0,0.4956813985078128,0.0033317446939226,0.0149570550841247,True,41,41
16,9,35,True,converged,0.0210844999819528,1,1,0.9145820815631466,0.9130930057179862,0.5739966257932383,True,converged,0.4247870445251465,2,0.9136614022345444,0.4999999999999995,0.0,0.3641778087318651,0.0174591708980909,0.0798476223100138,True,41,41
16,9,50,True,converged,0.0219987079908605,1,1,0.9138221286106196,0.9130930057179862,0.501383174177873,True,converged,1.0837221145629885,2,0.9134516813090316,0.5000000000000003,0.0,0.4960083578590924,0.0029888848618902,0.0137519698095058,True,41,41
16,9,75,True,converged,0.0219987079908605,1,1,0.9134160121401412,0.9130930057179862,0.501383174177873,True,converged,1.7051291465759275,2,0.9132485598889571,0.4999999999999995,0.0,0.4960674023751777,0.0029495115442827,0.0135606138883056,True,41,41
16,9,100,True,converged,0.0219987079908605,1,1,0.913273879701882,0.9130930057179862,0.501383174177873,True,converged,3.0863261222839355,2,0.9131774886360072,0.5000000000000008,0.0,0.4960879402849538,0.0029377057611519,0.013494264031031,True,41,41
16,9,150,True,converged,0.0219987079908605,1,1,0.9131723644616108,0.9130930057179862,0.501383174177873,True,converged,4.974712133407593,2,0.9131267378019328,0.5000021124557795,0.0,0.4962246938603471,0.0028175090208623,0.0129315099961416,True,41,41
16,9,200,True,converged,0.02624170799390413,1,1,0.91313683829072,0.9130930057179862,0.501383174177873,True,converged,10.368022203445435,2,0.913109194593562,0.500063452005261,0.0,0.4968055771158714,0.002310854451767092,0.010603927891401022,True,41,41
16,10,10,True,converged,0.7464496659813449,6,1,2.223477496729062,2.179794357811799,0.5011280782716759,True,converged,0.0394239425659179,2,2.1991699590507388,0.4999999999999999,0.0,0.0028428656166509,0.0883313031241305,0.3682673165504218,False,70,69
16,10,15,True,converged,0.7430162920209114,6,1,2.1992730910868854,2.179794357811799,0.5000553637297892,True,converged,0.2012360095977783,6,2.188060741237142,0.5000087332966547,0.0,0.0660569884313813,0.1215945716112687,0.5555672035198989,False,72,72
16,10,25,True,converged,0.7464496659813449,6,1,2.186775080791529,2.179794357811799,0.5011280782716752,True,converged,0.5956988334655762,5,2.1816940236134545,0.4999999999999994,0.0,0.1537791039160936,0.0561710858535177,0.1773307341960934,True,72,72
16,10,35,True,converged,0.7430162920209114,6,1,2.1833547341208823,2.179794357811799,0.5011280782716759,True,converged,1.8951990604400637,5,2.180192017505554,0.5000000009343237,0.0,0.1537791039160808,0.0505455359930034,0.1728063201349282,True,73,73
16,10,50,True,converged,0.7464496659813449,6,1,2.1815376240436644,2.179794357811799,0.5011280782716752,True,converged,3.8323819637298584,5,2.1800304725505644,0.4999999999999999,0.0,0.3177628218488673,0.0361671137923514,0.1299647318574353,True,73,73
